languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
Learn the foundational principles of personnel management and leadership.,English,Access to a public library community.,Art & Culture,2-4 hours per week,Personnel Management for Public Libraries,English,Introductory,MichiganX,FREE,4 weeks
Learn the best practices and guidelines needed to create accessible web applications and empower all of your users.,English,,Computer Science,3-4 hours per module,Introduction to Web Accessibility,English,Intermediate,Microsoft,FREE,5 modules
"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.",English,"Knowledge of C#
Knowledge of web technologies
Database knowlede",Computer Science,3-4 hours per week,Build Web APIs using ASP.NET,English,Intermediate,Microsoft,FREE,4 weeks
"Learn about the different modes of Islamic Finance and the applications, management and risk involved with each.",English,None,Economics & Finance,3-4 hours per week,Islamic Finance and Banking: Modes of Finance,English,Introductory,IRTIx,FREE,4 weeks
Learn the fundamental elements of Java programming and data abstraction.,English,None,Computer Science,3-5 hours per week,Introduction to Java Programming – Part 1,English,Introductory,HKUSTx,FREE,5 weeks
The first MOOC to teach the fundamental elements of Java programming and data abstraction.,English,Introduction to Java Programming Part 1 - COMP102.1x is recommended. ,Computer Science,3-5 hours per week,Introduction to Java Programming – Part 2,English,Introductory,HKUSTx,FREE,5 weeks
Learn the basics of mobile application development using Android as the platform.,English,"Basics of Java programming
OR
COMP102x
OR
COMP102.1x + COMP102.2x",Computer Science,3-5 hours per week,Introduction to Mobile Application Development using Android,English,Introductory,HKUSTx,FREE,6 weeks
"Learn about the integrative power of knowledge management, Big Data and Cloud Computing, and how they impact the new business era.",English,None,Business & Management,6-8 hours per week,Knowledge Management and Big Data in Business,English,Introductory,HKPolyUx,FREE,6 weeks
"Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.",English,None.,Business & Management,2-5 hours per week,Portfolio Management & Governance,English,Introductory,UWashingtonX,FREE,4 weeks
"Learn how to build effective teams, be a great team player and manage team conflict.",English,None,Humanities,6-8 hours per week,Working in Teams: A Practical Guide,English,Introductory,UQx,FREE,4 weeks
"Learn how a team comes together to create, market and deliver a video game.",English,None,Computer Science,3 hours per week,Video Game Design: Teamwork & Collaboration,English,Introductory,RITx,FREE,5 weeks
Learn how behavioural science can improve our criminal justice system.,English,None,Social Sciences,1-2 hours per week,The Psychology of Criminal Justice,English,Introductory,UQx,FREE,8 weeks
"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",English,None. This course is suitable for anyone preparing to take the Academic IELTS test.,Communication,5-10 hours per week,IELTS Academic Test Preparation,English,Introductory,UQx,FREE,8 weeks
"Learn how to make healthy choices and adjustments to your lifestyle and environment to help you live a healthier, happier and longer life.",English,Secondary school (high school),Health & Safety,2-3 hours per week,Healthy Ageing in 6 Steps. Let your environment do the work.,English,Introductory,DelftX,FREE,6 weeks
Learn the mathematics behind linear algebra and link it to matrix software development.,English,,Math,8 hours per week,Linear Algebra - Foundations to Frontiers,English,Intermediate,UTAustinX,FREE,15 weeks
"Learn the basic concepts behind Angular and the lifecycle of an Angular component. Plus, learn about the TypeScript compiler and how it’s used with Visual Studio Code.",English,Experience with web development fundamentals.,Computer Science,3-4 hours per week,Developing Dynamic Web Applications Using Angular,English,Intermediate,Microsoft,FREE,4 weeks
"Learn about urban water services, focusing on conventional technologies for drinking water treatment.",English,High school level of mathematics and chemistry is recommended.,Engineering,6-8 hours per week,Drinking Water Treatment,English,Intermediate,DelftX,FREE,7 weeks
"Learn about urban water services, focusing on basic sewage treatment technologies.",English,High school level of mathematics and chemistry is recommended.,Engineering,6-8 hours per week,Urban Sewage Treatment,English,Intermediate,DelftX,FREE,7 weeks
"Gain a solid understanding of statistics and basic probability, using Excel, and build on your data analysis and data science foundation.",English,,Data Analysis & Statistics,2-4 hours per week,Essential Statistics for Data Analysis using Excel,English,Intermediate,Microsoft,FREE,6 weeks
"The course deals with how to simulate and analyze stochastic processes, in particular the dynamics of small particles diffusing in a fluid.",English,Differential and integral calculus and Linear algebra at a 2nd year undergraduate level.,Physics,2-3 hours per week,Stochastic Processes: Data Analysis and Computer Simulation,English,Intermediate,KyotoUx,FREE,6 weeks
"Learn how to design, develop, and manage a multidimensional data model (a.k.a. cube) with SQL Server 2016 Analysis Services.",English,,Computer Science,2-3 hours per week,Developing a Multidimensional Data Model,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,English,None,Business & Management,2-4 hours per week,Financial Analysis for Decision Making,English,Introductory,BabsonX,FREE,4 weeks
"Explore emerging innovations in vocal production, audio engineering, recording, and mixing.",English,None,Engineering,5 hours per week,Vocal Recording Technology,English,Introductory,BerkleeX,FREE,6 weeks
"Learn the latest about the rapidly changing music industry from recording, publishing, and distribution to legal issues confronting music commerce.",English,None,Business & Management,5 hours per week,Introduction to the Music Business,English,Introductory,BerkleeX,FREE,6 weeks
"Learn how music can help reduce stress and improve your health, and well-being.",English,None,Humanities,5 hours per week,Music For Wellness,English,Introductory,BerkleeX,FREE,4 weeks
Learn the physics of how things move with this calculus-based course in mechanics.,English,Secondary school (high school) algebra and trigonometry. Calculus is needed but can be learned concurrently.,Physics,4 to 6 hours per week,"Introduction to Mechanics, Part 1",English,Intermediate,RiceX,FREE,6 weeks
A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,English,None,Biology & Life Sciences,2-4 hours per week,Cell Biology: Mitochondria,English,Introductory,HarvardX,FREE,4 weeks
Take the challenge and understand problems and solutions to managing tropical coastal ecosystems.,English,,Biology & Life Sciences,4-5 hours per week,Tropical Coastal Ecosystems,English,Introductory,UQx,FREE,9 weeks
