course_link,languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
Learn the best practices and guidelines needed to create accessible web applications and empower all of your users.,,Introduction to Web Accessibility,3-4 hours per module,https://www.edx.org/course/introduction-web-accessibility-microsoft-dev240x,5 modules,English,FREE,English,Intermediate,Computer Science,Microsoft
Learn the foundational principles of personnel management and leadership.,Access to a public library community.,Personnel Management for Public Libraries,2-4 hours per week,https://www.edx.org/course/personnel-management-public-libraries-michiganx-publib603x,4 weeks,English,FREE,English,Introductory,Art & Culture,MichiganX
"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.","Knowledge of C#
Knowledge of web technologies
Database knowlede",Build Web APIs using ASP.NET,3-4 hours per week,https://www.edx.org/course/build-web-apis-using-asp-net-microsoft-dev247x,4 weeks,English,FREE,English,Intermediate,Computer Science,Microsoft
"Learn about the different modes of Islamic Finance and the applications, management and risk involved with each.",None,Islamic Finance and Banking: Modes of Finance,3-4 hours per week,https://www.edx.org/course/islamic-finance-banking-modes-finance-irtix-ifb102x-0,4 weeks,English,FREE,English,Introductory,Economics & Finance,IRTIx
"Learn about the integrative power of knowledge management, Big Data and Cloud Computing, and how they impact the new business era.",None,Knowledge Management and Big Data in Business,6-8 hours per week,https://www.edx.org/course/knowledge-management-big-data-business-hkpolyux-ise101x-3,6 weeks,English,FREE,English,Introductory,Business & Management,HKPolyUx
Learn the fundamental elements of Java programming and data abstraction.,None,Introduction to Java Programming – Part 1,3-5 hours per week,https://www.edx.org/course/introduction-java-programming-part-1-hkustx-comp102-1x-8,5 weeks,English,FREE,English,Introductory,Computer Science,HKUSTx
The first MOOC to teach the fundamental elements of Java programming and data abstraction.,Introduction to Java Programming Part 1 - COMP102.1x is recommended. ,Introduction to Java Programming – Part 2,3-5 hours per week,https://www.edx.org/course/introduction-java-programming-part-2-hkustx-comp102-2x-4,5 weeks,English,FREE,English,Introductory,Computer Science,HKUSTx
Learn the basics of mobile application development using Android as the platform.,"Basics of Java programming
OR
COMP102x
OR
COMP102.1x + COMP102.2x",Introduction to Mobile Application Development using Android,3-5 hours per week,https://www.edx.org/course/introduction-mobile-application-hkustx-comp107x-3,6 weeks,English,FREE,English,Introductory,Computer Science,HKUSTx
"Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.",None.,Portfolio Management & Governance,2-5 hours per week,https://www.edx.org/course/portfolio-management-governance-uwashingtonx-pm-it-002x,4 weeks,English,FREE,English,Introductory,Business & Management,UWashingtonX
"Learn how to build effective teams, be a great team player and manage team conflict.",None,Working in Teams: A Practical Guide,6-8 hours per week,https://www.edx.org/course/working-teams-practical-guide-uqx-teams101x-1,4 weeks,English,FREE,English,Introductory,Humanities,UQx
"Learn how a team comes together to create, market and deliver a video game.",None,Video Game Design: Teamwork & Collaboration,3 hours per week,https://www.edx.org/course/video-game-design-teamwork-collaboration-ritx-game104x,5 weeks,English,FREE,English,Introductory,Computer Science,RITx
Learn how behavioural science can improve our criminal justice system.,None,The Psychology of Criminal Justice,1-2 hours per week,https://www.edx.org/course/psychology-criminal-justice-uqx-crime101x-3,8 weeks,English,FREE,English,Introductory,Social Sciences,UQx
